state,occ_type,occ_salary,geography
Indiana,occ_410000,23560,state
Indiana,occ_430000,29720,state
Indiana,occ_450000,26420,state
Indiana,occ_470000,44800,state
Indiana,occ_490000,41030,state
Indiana,occ_510000,30580,state
Indiana,occ_530000,28920,state
Iowa,occ_110000,76230,state
Iowa,occ_130000,55770,state
Iowa,occ_150000,67250,state
Iowa,occ_170000,63020,state
Iowa,occ_190000,51750,state
Iowa,occ_210000,36420,state
Iowa,occ_230000,55160,state
Iowa,occ_250000,40600,state
Iowa,occ_270000,32110,state
Iowa,occ_290000,52070,state
Iowa,occ_310000,25110,state
Iowa,occ_330000,40780,state
Iowa,occ_350000,18480,state
Iowa,occ_370000,22420,state
Iowa,occ_390000,20150,state
Iowa,occ_410000,23060,state
Iowa,occ_430000,30190,state
Iowa,occ_450000,29080,state
Iowa,occ_470000,38360,state
Iowa,occ_490000,39770,state
Iowa,occ_510000,31550,state
Iowa,occ_530000,30200,state
Kansas,occ_110000,84410,state
Kansas,occ_130000,58240,state
Kansas,occ_150000,66770,state
Kansas,occ_170000,69530,state
Kansas,occ_190000,52830,state
Kansas,occ_210000,36630,state
Kansas,occ_230000,57790,state
Kansas,occ_250000,39130,state
Kansas,occ_270000,33580,state
Kansas,occ_290000,53010,state
Kansas,occ_310000,23490,state
Kansas,occ_330000,34770,state
Kansas,occ_350000,18380,state
Kansas,occ_370000,21540,state
Kansas,occ_390000,20070,state
Kansas,occ_410000,23810,state
Kansas,occ_430000,29560,state
Kansas,occ_450000,26580,state
Kansas,occ_470000,36700,state
Kansas,occ_490000,40870,state
Kansas,occ_510000,32030,state
Kansas,occ_530000,29430,state
Kentucky,occ_110000,77450,state
Kentucky,occ_130000,52370,state
Kentucky,occ_150000,59330,state
Kentucky,occ_170000,65880,state
Kentucky,occ_190000,47250,state
Kentucky,occ_210000,36280,state
Kentucky,occ_230000,54250,state
Kentucky,occ_250000,47750,state
Kentucky,occ_270000,33250,state
Kentucky,occ_290000,52870,state
Kentucky,occ_310000,24390,state
Kentucky,occ_330000,29910,state
Kentucky,occ_350000,18290,state
Kentucky,occ_370000,20720,state
Kentucky,occ_390000,19400,state
Kentucky,occ_410000,22450,state
Kentucky,occ_430000,29110,state
Kentucky,occ_450000,23220,state
Kentucky,occ_470000,37810,state
Kentucky,occ_490000,38790,state
Kentucky,occ_510000,30860,state
Kentucky,occ_530000,28210,state
Louisiana,occ_110000,76770,state
Louisiana,occ_130000,52610,state
Louisiana,occ_150000,58990,state
Louisiana,occ_170000,70420,state
Louisiana,occ_190000,56530,state
Louisiana,occ_210000,39140,state
Louisiana,occ_230000,59780,state
Louisiana,occ_250000,44840,state
Louisiana,occ_270000,37200,state
Louisiana,occ_290000,50680,state
Louisiana,occ_310000,21530,state
Louisiana,occ_330000,32140,state
Louisiana,occ_350000,18320,state
Louisiana,occ_370000,19590,state
Louisiana,occ_390000,18640,state
Louisiana,occ_410000,22440,state
Louisiana,occ_430000,27980,state
Louisiana,occ_450000,29880,state
Louisiana,occ_470000,36430,state
Louisiana,occ_490000,37830,state
Louisiana,occ_510000,36680,state
Louisiana,occ_530000,29840,state
Maine,occ_110000,75640,state
Maine,occ_130000,55420,state
Maine,occ_150000,62220,state
Maine,occ_170000,68580,state
Maine,occ_190000,51820,state
Maine,occ_210000,37680,state
Maine,occ_230000,56080,state
Maine,occ_250000,41310,state
Maine,occ_270000,30950,state
Maine,occ_290000,59940,state
Maine,occ_310000,25920,state
Maine,occ_330000,33470,state
Maine,occ_350000,19270,state
Maine,occ_370000,24170,state
Maine,occ_390000,21500,state
Maine,occ_410000,23280,state
Maine,occ_430000,30730,state
Maine,occ_450000,31480,state
Maine,occ_470000,36650,state
Maine,occ_490000,41020,state
Maine,occ_510000,34410,state
Maine,occ_530000,29240,state
Maryland,occ_110000,109200,state
Maryland,occ_130000,71570,state
