cbsa,occ_type,occ_salary,cbsa_name,geography
11340,occ_270000,35020,"Anderson, SC",metro
11340,occ_290000,50880,"Anderson, SC",metro
11340,occ_310000,22470,"Anderson, SC",metro
11340,occ_330000,28640,"Anderson, SC",metro
11340,occ_350000,18200,"Anderson, SC",metro
11340,occ_370000,20310,"Anderson, SC",metro
11340,occ_390000,19300,"Anderson, SC",metro
11340,occ_410000,21610,"Anderson, SC",metro
11340,occ_430000,27110,"Anderson, SC",metro
11340,occ_450000,25880,"Anderson, SC",metro
11340,occ_470000,32170,"Anderson, SC",metro
11340,occ_490000,36150,"Anderson, SC",metro
11340,occ_510000,31790,"Anderson, SC",metro
11340,occ_530000,26310,"Anderson, SC",metro
11460,occ_110000,97970,"Ann Arbor, MI",metro
11460,occ_130000,60460,"Ann Arbor, MI",metro
11460,occ_150000,65180,"Ann Arbor, MI",metro
11460,occ_170000,74910,"Ann Arbor, MI",metro
11460,occ_190000,40050,"Ann Arbor, MI",metro
11460,occ_210000,46750,"Ann Arbor, MI",metro
11460,occ_230000,71780,"Ann Arbor, MI",metro
11460,occ_250000,56980,"Ann Arbor, MI",metro
11460,occ_270000,46640,"Ann Arbor, MI",metro
11460,occ_290000,66110,"Ann Arbor, MI",metro
11460,occ_310000,28770,"Ann Arbor, MI",metro
11460,occ_330000,51730,"Ann Arbor, MI",metro
11460,occ_350000,19070,"Ann Arbor, MI",metro
11460,occ_370000,25560,"Ann Arbor, MI",metro
11460,occ_390000,20610,"Ann Arbor, MI",metro
11460,occ_410000,27370,"Ann Arbor, MI",metro
11460,occ_430000,31860,"Ann Arbor, MI",metro
11460,occ_470000,53150,"Ann Arbor, MI",metro
11460,occ_490000,42530,"Ann Arbor, MI",metro
11460,occ_510000,32140,"Ann Arbor, MI",metro
11460,occ_530000,29790,"Ann Arbor, MI",metro
11500,occ_110000,81490,"Anniston-Oxford, AL",metro
11500,occ_130000,59310,"Anniston-Oxford, AL",metro
11500,occ_150000,63280,"Anniston-Oxford, AL",metro
11500,occ_170000,70130,"Anniston-Oxford, AL",metro
11500,occ_190000,58050,"Anniston-Oxford, AL",metro
11500,occ_210000,38160,"Anniston-Oxford, AL",metro
11500,occ_230000,42120,"Anniston-Oxford, AL",metro
11500,occ_250000,43410,"Anniston-Oxford, AL",metro
11500,occ_270000,33840,"Anniston-Oxford, AL",metro
11500,occ_290000,41570,"Anniston-Oxford, AL",metro
11500,occ_310000,19440,"Anniston-Oxford, AL",metro
11500,occ_330000,34780,"Anniston-Oxford, AL",metro
11500,occ_350000,18060,"Anniston-Oxford, AL",metro
11500,occ_370000,20180,"Anniston-Oxford, AL",metro
11500,occ_390000,18560,"Anniston-Oxford, AL",metro
11500,occ_410000,19800,"Anniston-Oxford, AL",metro
11500,occ_430000,27460,"Anniston-Oxford, AL",metro
11500,occ_470000,36810,"Anniston-Oxford, AL",metro
11500,occ_490000,45150,"Anniston-Oxford, AL",metro
11500,occ_510000,29330,"Anniston-Oxford, AL",metro
11500,occ_530000,26910,"Anniston-Oxford, AL",metro
11540,occ_110000,86030,"Appleton, WI",metro
11540,occ_130000,54420,"Appleton, WI",metro
11540,occ_150000,65260,"Appleton, WI",metro
11540,occ_170000,63500,"Appleton, WI",metro
11540,occ_190000,51210,"Appleton, WI",metro
11540,occ_210000,35880,"Appleton, WI",metro
11540,occ_230000,55980,"Appleton, WI",metro
11540,occ_250000,53220,"Appleton, WI",metro
11540,occ_270000,35900,"Appleton, WI",metro
11540,occ_290000,60370,"Appleton, WI",metro
11540,occ_310000,28220,"Appleton, WI",metro
11540,occ_330000,29130,"Appleton, WI",metro
11540,occ_350000,18610,"Appleton, WI",metro
11540,occ_370000,23350,"Appleton, WI",metro
11540,occ_390000,20230,"Appleton, WI",metro
11540,occ_410000,23910,"Appleton, WI",metro
11540,occ_430000,30150,"Appleton, WI",metro
11540,occ_450000,34730,"Appleton, WI",metro
11540,occ_470000,47340,"Appleton, WI",metro
11540,occ_490000,42810,"Appleton, WI",metro
11540,occ_510000,34500,"Appleton, WI",metro
11540,occ_530000,31320,"Appleton, WI",metro
11700,occ_110000,80250,"Asheville, NC",metro
11700,occ_130000,51680,"Asheville, NC",metro
11700,occ_150000,56020,"Asheville, NC",metro
11700,occ_170000,58160,"Asheville, NC",metro
11700,occ_190000,55370,"Asheville, NC",metro
11700,occ_210000,39550,"Asheville, NC",metro
11700,occ_230000,47930,"Asheville, NC",metro
