census_id,occ_type,occ_salary,geography
11460,occ_110000,97970,Metro
11460,occ_130000,60460,Metro
11460,occ_150000,65180,Metro
11460,occ_170000,74910,Metro
11460,occ_190000,40050,Metro
11460,occ_210000,46750,Metro
11460,occ_230000,71780,Metro
11460,occ_250000,56980,Metro
11460,occ_270000,46640,Metro
11460,occ_290000,66110,Metro
11460,occ_310000,28770,Metro
11460,occ_330000,51730,Metro
11460,occ_350000,19070,Metro
11460,occ_370000,25560,Metro
11460,occ_390000,20610,Metro
11460,occ_410000,27370,Metro
11460,occ_430000,31860,Metro
11460,occ_470000,53150,Metro
11460,occ_490000,42530,Metro
11460,occ_510000,32140,Metro
11460,occ_530000,29790,Metro
11500,occ_110000,81490,Metro
11500,occ_130000,59310,Metro
11500,occ_150000,63280,Metro
11500,occ_170000,70130,Metro
11500,occ_190000,58050,Metro
11500,occ_210000,38160,Metro
11500,occ_230000,42120,Metro
11500,occ_250000,43410,Metro
11500,occ_270000,33840,Metro
11500,occ_290000,41570,Metro
11500,occ_310000,19440,Metro
11500,occ_330000,34780,Metro
11500,occ_350000,18060,Metro
11500,occ_370000,20180,Metro
11500,occ_390000,18560,Metro
11500,occ_410000,19800,Metro
11500,occ_430000,27460,Metro
11500,occ_470000,36810,Metro
11500,occ_490000,45150,Metro
11500,occ_510000,29330,Metro
11500,occ_530000,26910,Metro
11540,occ_110000,86030,Metro
11540,occ_130000,54420,Metro
11540,occ_150000,65260,Metro
11540,occ_170000,63500,Metro
11540,occ_190000,51210,Metro
11540,occ_210000,35880,Metro
11540,occ_230000,55980,Metro
11540,occ_250000,53220,Metro
11540,occ_270000,35900,Metro
11540,occ_290000,60370,Metro
11540,occ_310000,28220,Metro
11540,occ_330000,29130,Metro
11540,occ_350000,18610,Metro
11540,occ_370000,23350,Metro
11540,occ_390000,20230,Metro
11540,occ_410000,23910,Metro
11540,occ_430000,30150,Metro
11540,occ_450000,34730,Metro
11540,occ_470000,47340,Metro
11540,occ_490000,42810,Metro
11540,occ_510000,34500,Metro
11540,occ_530000,31320,Metro
11700,occ_110000,80250,Metro
11700,occ_130000,51680,Metro
11700,occ_150000,56020,Metro
11700,occ_170000,58160,Metro
11700,occ_190000,55370,Metro
11700,occ_210000,39550,Metro
11700,occ_230000,47930,Metro
11700,occ_250000,38470,Metro
11700,occ_270000,34000,Metro
11700,occ_290000,57470,Metro
11700,occ_310000,24560,Metro
11700,occ_330000,32020,Metro
11700,occ_350000,18860,Metro
11700,occ_370000,21790,Metro
11700,occ_390000,21100,Metro
11700,occ_410000,23770,Metro
11700,occ_430000,29200,Metro
11700,occ_450000,24010,Metro
11700,occ_470000,32930,Metro
11700,occ_490000,37610,Metro
11700,occ_510000,32450,Metro
11700,occ_530000,27090,Metro
12020,occ_110000,74900,Metro
12020,occ_130000,49410,Metro
12020,occ_150000,59310,Metro
12020,occ_170000,61680,Metro
12020,occ_190000,40000,Metro
12020,occ_210000,35480,Metro
12020,occ_230000,58260,Metro
12020,occ_250000,32760,Metro
12020,occ_270000,35660,Metro
12020,occ_290000,57100,Metro
12020,occ_310000,23430,Metro
12020,occ_330000,35630,Metro
12020,occ_350000,18190,Metro
12020,occ_370000,19840,Metro
12020,occ_390000,19110,Metro
12020,occ_410000,20150,Metro
12020,occ_430000,27560,Metro
12020,occ_450000,22710,Metro
12020,occ_470000,33590,Metro
12020,occ_490000,36740,Metro
12020,occ_510000,30620,Metro
12020,occ_530000,23640,Metro
12060,occ_110000,102320,Metro
12060,occ_130000,64450,Metro
12060,occ_150000,77710,Metro
12060,occ_170000,72600,Metro
12060,occ_190000,58830,Metro
12060,occ_210000,38800,Metro
12060,occ_230000,77640,Metro
12060,occ_250000,45920,Metro
12060,occ_270000,44960,Metro
12060,occ_290000,61510,Metro
12060,occ_310000,25740,Metro
12060,occ_330000,31160,Metro
12060,occ_350000,18470,Metro
12060,occ_370000,22730,Metro
12060,occ_390000,20420,Metro
12060,occ_410000,27030,Metro
12060,occ_430000,32380,Metro
12060,occ_450000,23960,Metro
12060,occ_470000,35810,Metro
12060,occ_490000,40880,Metro
12060,occ_510000,28480,Metro
12060,occ_530000,29430,Metro
12100,occ_110000,101390,Metro
12100,occ_130000,63240,Metro
12100,occ_150000,87110,Metro
12100,occ_170000,81350,Metro
12100,occ_190000,73490,Metro
12100,occ_210000,47030,Metro
12100,occ_230000,86860,Metro
12100,occ_250000,56550,Metro
12100,occ_270000,57710,Metro
12100,occ_290000,70920,Metro
12100,occ_310000,28070,Metro
12100,occ_330000,35750,Metro
12100,occ_350000,20900,Metro
12100,occ_370000,24850,Metro
12100,occ_390000,19450,Metro
12100,occ_410000,23770,Metro
12100,occ_430000,32470,Metro
12100,occ_450000,18520,Metro
12100,occ_470000,57040,Metro
12100,occ_490000,49590,Metro
12100,occ_510000,25840,Metro
12100,occ_530000,27970,Metro
12220,occ_110000,84520,Metro
12220,occ_130000,52310,Metro
12220,occ_150000,58970,Metro
12220,occ_170000,64320,Metro
12220,occ_190000,49360,Metro
12220,occ_210000,41630,Metro
12220,occ_230000,67880,Metro
12220,occ_250000,51980,Metro
12220,occ_270000,42140,Metro
12220,occ_290000,50210,Metro
12220,occ_310000,20780,Metro
12220,occ_330000,28930,Metro
12220,occ_350000,18100,Metro
12220,occ_370000,18970,Metro
12220,occ_390000,18660,Metro
12220,occ_410000,19640,Metro
12220,occ_430000,27230,Metro
12220,occ_450000,31830,Metro
12220,occ_470000,31570,Metro
12220,occ_490000,35840,Metro
12220,occ_510000,22030,Metro
12220,occ_530000,25960,Metro
12260,occ_110000,80930,Metro
12260,occ_130000,54670,Metro
12260,occ_150000,63360,Metro
12260,occ_170000,78170,Metro
12260,occ_190000,64910,Metro
12260,occ_210000,35710,Metro
12260,occ_230000,59900,Metro
12260,occ_250000,43410,Metro
12260,occ_270000,39730,Metro
12260,occ_290000,55450,Metro
12260,occ_310000,24060,Metro
12260,occ_330000,29740,Metro
12260,occ_350000,18380,Metro
12260,occ_370000,19360,Metro
12260,occ_390000,18740,Metro
12260,occ_410000,20060,Metro
12260,occ_430000,28240,Metro
12260,occ_450000,32650,Metro
12260,occ_470000,38640,Metro
12260,occ_490000,38060,Metro
12260,occ_510000,32440,Metro
12260,occ_530000,26590,Metro
12420,occ_110000,95160,Metro
12420,occ_130000,60510,Metro
12420,occ_150000,76910,Metro
12420,occ_170000,75520,Metro
12420,occ_190000,53330,Metro
12420,occ_210000,41070,Metro
12420,occ_230000,70670,Metro
12420,occ_250000,45070,Metro
12420,occ_270000,44170,Metro
12420,occ_290000,58440,Metro
12420,occ_310000,27330,Metro
12420,occ_330000,36340,Metro
12420,occ_350000,18960,Metro
12420,occ_370000,21810,Metro
12420,occ_390000,20550,Metro
12420,occ_410000,28600,Metro
12420,occ_430000,32570,Metro
12420,occ_450000,22440,Metro
12420,occ_470000,32910,Metro
12420,occ_490000,37950,Metro
12420,occ_510000,29850,Metro
12420,occ_530000,27050,Metro
12540,occ_110000,93150,Metro
12540,occ_130000,65500,Metro
12540,occ_150000,77550,Metro
12540,occ_170000,89450,Metro
12540,occ_190000,70950,Metro
12540,occ_210000,45640,Metro
12540,occ_230000,73420,Metro
12540,occ_250000,48060,Metro
12540,occ_270000,37850,Metro
12540,occ_290000,69460,Metro
12540,occ_310000,24540,Metro
12540,occ_330000,71090,Metro
12540,occ_350000,18960,Metro
12540,occ_370000,23010,Metro
12540,occ_390000,19730,Metro
12540,occ_410000,24620,Metro
12540,occ_430000,32800,Metro
12540,occ_450000,18390,Metro
12540,occ_470000,42860,Metro
12540,occ_490000,45180,Metro
12540,occ_510000,36070,Metro
12540,occ_530000,28650,Metro
12580,occ_110000,106480,Metro
12580,occ_130000,69040,Metro
12580,occ_150000,88190,Metro
12580,occ_170000,79780,Metro
12580,occ_190000,66090,Metro
12580,occ_210000,43190,Metro
12580,occ_230000,62470,Metro
12580,occ_250000,53210,Metro
12580,occ_270000,47010,Metro
12580,occ_290000,67750,Metro
12580,occ_310000,28220,Metro
12580,occ_330000,41090,Metro
12580,occ_350000,18960,Metro
12580,occ_370000,24180,Metro
12580,occ_390000,23180,Metro
12580,occ_410000,25510,Metro
12580,occ_430000,35350,Metro
12580,occ_450000,30100,Metro
12580,occ_470000,40340,Metro
12580,occ_490000,44060,Metro
12580,occ_510000,34290,Metro
12580,occ_530000,31270,Metro
12620,occ_110000,74760,Metro
12620,occ_130000,52510,Metro
12620,occ_150000,53270,Metro
12620,occ_170000,58040,Metro
12620,occ_190000,49080,Metro
12620,occ_210000,37110,Metro
12620,occ_230000,42820,Metro
12620,occ_250000,42840,Metro
12620,occ_270000,31210,Metro
12620,occ_290000,61300,Metro
12620,occ_310000,25910,Metro
12620,occ_330000,30140,Metro
12620,occ_350000,19100,Metro
12620,occ_370000,22110,Metro
12620,occ_390000,20200,Metro
12620,occ_410000,22520,Metro
12620,occ_430000,29440,Metro
12620,occ_450000,27190,Metro
12620,occ_470000,33910,Metro
12620,occ_490000,38090,Metro
12620,occ_510000,30490,Metro
12620,occ_530000,28490,Metro
12700,occ_110000,90730,Metro
12700,occ_130000,66820,Metro
12700,occ_150000,73340,Metro
12700,occ_170000,72970,Metro
12700,occ_190000,69030,Metro
12700,occ_210000,41230,Metro
12700,occ_230000,64200,Metro
12700,occ_250000,53190,Metro
12700,occ_270000,40980,Metro
12700,occ_290000,72350,Metro
12700,occ_310000,29000,Metro
12700,occ_330000,54640,Metro
12700,occ_350000,22070,Metro
12700,occ_370000,30640,Metro
12700,occ_390000,25570,Metro
12700,occ_410000,25780,Metro
12700,occ_430000,35600,Metro
12700,occ_450000,21680,Metro
12700,occ_470000,44750,Metro
12700,occ_490000,46890,Metro
12700,occ_510000,34140,Metro
12700,occ_530000,30890,Metro
12940,occ_110000,84280,Metro
12940,occ_130000,51380,Metro
12940,occ_150000,59850,Metro
12940,occ_170000,78400,Metro
12940,occ_190000,53370,Metro
12940,occ_210000,39600,Metro
12940,occ_230000,62650,Metro
12940,occ_250000,47230,Metro
12940,occ_270000,38210,Metro
12940,occ_290000,50060,Metro
12940,occ_310000,21040,Metro
12940,occ_330000,34330,Metro
12940,occ_350000,18240,Metro
12940,occ_370000,19130,Metro
12940,occ_390000,18450,Metro
12940,occ_410000,22660,Metro
12940,occ_430000,28770,Metro
12940,occ_450000,32580,Metro
12940,occ_470000,36380,Metro
12940,occ_490000,39590,Metro
12940,occ_510000,43370,Metro
12940,occ_530000,28700,Metro
12980,occ_110000,83620,Metro
12980,occ_130000,63190,Metro
12980,occ_150000,64540,Metro
12980,occ_170000,61470,Metro
12980,occ_190000,56510,Metro
12980,occ_210000,46510,Metro
12980,occ_230000,71290,Metro
12980,occ_250000,44670,Metro
12980,occ_270000,31110,Metro
12980,occ_290000,58460,Metro
12980,occ_310000,26420,Metro
12980,occ_330000,39860,Metro
